base.labels,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1, 
partial.labels,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1, 
super.labels,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1, 
weighted.labels,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1, 
base.predictions,0.5900,0.8500,0.5800,0.9700,1.0000,0.8200,0.7500,0.0400,0.7900,0.5100,1.0000,0.9900,0.9600,1.0000,0.7300,0.5700,0.9500,0.5200,0.9500,0.7000,0.8000,0.8900,0.9100,0.9400,1.0000,0.9600,0.8800,0.9800,1.0000,1.0000,0.8200,0.0000,0.9600,0.2700,0.0000,0.7400,0.0000,0.8900,1.0000,0.9900,0.9600,1.0000,1.0000,0.9900,0.8200,0.5700,0.4100,0.9900,1.0000,0.3300,0.9500,0.6800,0.9300,0.9500,0.7600,0.9700,1.0000,1.0000,0.3700,0.7700,0.0100,0.5900,0.4400,0.7900,0.9700,1.0000,0.5100,0.8200,0.9600,0.5900,0.5800,1.0000,0.9700,0.7900,0.8500,0.7500,0.9600,0.9900,0.8000,0.5700,0.9600,1.0000,0.9500,0.7000,0.4100,0.2700,0.9400,1.0000,0.8900,0.9100,0.9500,1.0000,0.8300,0.7400,0.2700,0.8900,1.0000,1.0000,0.8200,0.9600,1.0000,0.7400,0.9800,0.8800,1.0000,0.8200,1.0000,0.4100,0.9500,0.9900,1.0000,0.9900,0.5700,0.6800,0.5400,0.9600,0.9900,0.0100,0.9700,1.0000,1.0000,0.9700,0.5900,0.4400,0.7700,0.3700,0.9500,0.7600,0.9300,0.7900,0.5300,0.9100,0.7200,0.9000,0.9900,0.3400,0.0000,0.9900,0.9400,1.0000,0.9900,0.9600,0.9800,1.0000,0.6800,0.8600,1.0000,0.8200,1.0000,0.6500,1.0000,1.0000,0.8900,0.9600,0.7400,0.2200,1.0000,0.9700,0.9400,0.4600,0.7200,1.0000,0.9600,0.9800,0.7900,0.5000,0.5200,0.5400,0.0200,0.9600,0.7600,0.0100,0.2600,0.9100,1.0000,0.1700,1.0000,0.8100,0.7900,0.2100,0.0000,0.1400,0.9900,0.9700,1.0000,1.0000,0.6700,0.2600,0.8500,0.9700,0.8800,0.9900,0.1800,0.8800,0.4200,0.9600,0.9800,0.3400,0.9900,0.9000,1.0000,0.9900,0.9900,0.9400,0.9100,0.7200,0.5300,0.0000,0.8200,0.8900,1.0000,1.0000,1.0000,0.8600,0.9600,1.0000,1.0000,0.6800,0.6500,0.2200,0.2300,1.0000,0.9700,0.9400,0.4600,0.5200,0.7200,0.9600,0.9800,0.7900,0.5000,0.5400,1.0000,0.7900,0.9600,0.1400,0.2100,0.9100,0.2600,0.7900,0.5200,1.0000,0.8100,1.0000,0.8300,0.9600,0.7600,0.9900,0.9700,1.0000,1.0000,0.6700,0.3600,0.8500,0.9700,0.8800,0.9900,0.2600,0.8800,0.4200,0.5100,1.0000,0.6700,0.9400,0.5400,0.4900,0.2100,1.0000,0.9600,1.0000,0.3600,1.0000,0.7300,0.9500,0.9100,0.2900,0.8800,0.7600,1.0000,0.1700,0.9900,0.8800,0.9200,0.2700,0.9500,0.2200,1.0000,0.4800,0.5500,0.6000,0.8200,0.9400,0.9900,0.6900,0.6400,0.7200,0.9600,0.7400,0.7000,1.0000,0.6800,0.0000,1.0000,0.8200,1.0000,0.3000,1.0000,1.0000,0.8900,0.0200,0.0000,0.2200,0.9900,0.4100,1.0000,1.0000,0.9900,0.3700,0.9300,0.8000,0.4000,0.9800,0.0000,0.9600,0.1000,1.0000,0.4900,0.7300,0.5400,0.9600,1.0000,1.0000,1.0000,0.6700,0.5100,0.2100,0.3600,0.9400,0.9500,0.9100,0.2900,0.8800,0.7600,1.0000,0.1700,0.9900,0.8800,0.9200,0.2700,0.0100,0.2200,0.6900,0.5500,0.4800,0.6000,0.2200,0.9900,0.7400,1.0000,0.8200,0.9400,0.6400,0.7200,0.9600,0.8200,0.8900,1.0000,1.0000,1.0000,0.0000,0.0200,1.0000,1.0000,0.6800,0.3000,0.2200,0.7400,0.9600,0.8900,0.4000,0.9900,1.0000,0.9800,0.0600,0.8000,0.9300,0.0100,1.0000,0.9900,0.4100, 
partial.predictions,0.6435,0.8190,0.6795,0.9690,1.0000,0.8470,0.7480,0.0145,0.8565,0.6715,1.0000,0.9705,0.9545,0.9995,0.4325,0.6395,0.9745,0.4370,0.8925,0.4820,0.6910,0.9525,0.9560,0.8395,1.0000,0.9090,0.7535,0.9945,0.9975,1.0000,0.7335,0.0000,0.9360,0.4130,0.0000,0.8430,0.0000,0.8870,0.9515,0.9755,0.9545,1.0000,0.9995,0.9990,0.7645,0.5995,0.6545,0.9940,0.9995,0.4025,0.7720,0.6075,0.8925,0.9770,0.9740,0.9830,0.9855,0.9975,0.2930,0.7325,0.0000,0.6745,0.4850,0.4665,0.9625,1.0000,0.6715,0.8470,0.9840,0.6435,0.6795,1.0000,0.9690,0.8565,0.8190,0.7480,0.9545,0.9705,0.6910,0.6395,0.9090,1.0000,0.8925,0.4820,0.4820,0.5625,0.8395,0.9995,0.9525,0.9560,0.9745,1.0000,0.8695,0.8430,0.4130,0.8870,1.0000,0.9975,0.7335,0.9360,0.9515,0.6800,0.9945,0.7535,0.9995,0.7645,0.9995,0.6545,0.7720,0.9940,1.0000,0.9990,0.5995,0.6075,0.4745,0.9545,0.9755,0.0000,0.9625,0.9975,0.9855,0.9830,0.6745,0.4850,0.7325,0.2930,0.9770,0.9740,0.8925,0.4665,0.5890,0.9950,0.8710,0.9305,0.9275,0.5525,0.0025,0.9810,0.9690,0.9995,0.3960,0.9700,0.9755,0.9990,0.8245,0.9005,0.9605,0.9375,0.9980,0.9020,1.0000,0.9950,0.9655,0.8920,0.6845,0.4315,0.9995,0.9290,0.9680,0.7035,0.7840,0.9845,0.9885,0.9900,0.8750,0.1520,0.6470,0.5035,0.0045,0.9755,0.5785,0.0040,0.4500,0.9205,1.0000,0.2025,0.9990,0.8365,0.6535,0.4965,0.0065,0.2740,0.9340,0.9535,0.9995,0.9970,0.5690,0.1705,0.8630,0.9105,0.8800,0.9995,0.1620,0.9720,0.5810,0.9700,0.9755,0.5525,0.9275,0.9305,0.9995,0.3960,0.9810,0.9690,0.9950,0.8710,0.5890,0.0025,0.9375,0.9655,0.9980,1.0000,0.9990,0.9005,0.8920,0.9605,0.9950,0.8245,0.9020,0.4315,0.2445,0.9995,0.9290,0.9680,0.7035,0.6470,0.7840,0.9885,0.9900,0.8750,0.1520,0.5035,0.9845,0.9085,0.9630,0.2740,0.4965,0.9205,0.4500,0.6535,0.5680,0.9990,0.8365,1.0000,0.8115,0.9755,0.5785,0.9340,0.9535,0.9995,0.9970,0.5690,0.3950,0.8630,0.9105,0.8800,0.9995,0.2525,0.9720,0.5810,0.4840,1.0000,0.5985,0.9115,0.5330,0.3100,0.3070,1.0000,0.9375,1.0000,0.3175,0.9985,0.8545,0.9790,0.9485,0.3785,0.8750,0.7725,0.9985,0.0475,0.9990,0.9055,0.9660,0.1960,0.7535,0.3260,0.9985,0.6005,0.5200,0.8195,0.9905,0.9900,0.9955,0.8165,0.5895,0.8095,0.8665,0.8285,0.4135,1.0000,0.7875,0.0035,0.9665,0.9190,0.9980,0.1245,1.0000,0.9985,0.9330,0.0570,0.0780,0.3565,0.9940,0.8030,1.0000,0.9985,0.9935,0.4015,0.8585,0.7535,0.8245,0.9975,0.0085,0.7715,0.1585,1.0000,0.3100,0.8545,0.5330,0.9375,1.0000,1.0000,0.9985,0.5985,0.4840,0.3070,0.3175,0.9115,0.9790,0.9485,0.3785,0.8750,0.7725,0.9985,0.0475,0.9990,0.9055,0.9660,0.1960,0.0480,0.3260,0.8165,0.5200,0.6005,0.8195,0.5725,0.9955,0.8285,0.9985,0.9905,0.9900,0.5895,0.8095,0.8665,0.9190,0.9330,0.9980,1.0000,1.0000,0.0035,0.0570,0.9665,0.9985,0.7875,0.1245,0.3565,0.6125,0.7715,0.8335,0.8245,0.9935,0.9985,0.9975,0.1305,0.7535,0.8585,0.1170,1.0000,0.9940,0.8030, 
super.predictions,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.1800,0.9500,1.0000,0.0900,1.0000,0.8900,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.8800,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.2200,1.0000,0.9600,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0300,1.0000,0.0000,1.0000,0.7800,0.8100,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9500,1.0000,1.0000,1.0000,0.8900,0.9100,0.8200,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8800,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9900,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9600,0.7800,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7800,1.0000,0.0300,1.0000,1.0000,1.0000,0.8100,0.8200,1.0000,1.0000,1.0000,1.0000,0.7400,0.0000,1.0000,1.0000,1.0000,0.5200,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.4700,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.9800,0.9900,0.0000,1.0000,0.9600,0.0000,0.8700,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.2700,0.0000,0.1200,1.0000,1.0000,1.0000,1.0000,0.9100,0.0300,1.0000,1.0000,1.0000,1.0000,0.0300,1.0000,0.9200,1.0000,1.0000,0.7400,1.0000,1.0000,1.0000,0.5200,1.0000,1.0000,1.0000,1.0000,0.8200,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.4700,0.0000,1.0000,1.0000,1.0000,1.0000,0.9800,1.0000,1.0000,1.0000,1.0000,0.0000,0.9900,1.0000,1.0000,1.0000,0.1200,0.2700,1.0000,0.8700,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9600,1.0000,1.0000,1.0000,1.0000,0.9100,0.6300,1.0000,1.0000,1.0000,1.0000,0.4600,1.0000,0.9200,0.8600,1.0000,0.9800,1.0000,0.4300,0.3700,0.0400,1.0000,1.0000,1.0000,0.3700,1.0000,1.0000,1.0000,1.0000,0.4500,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0400,1.0000,0.9900,0.8500,1.0000,1.0000,1.0000,1.0000,1.0000,0.9500,1.0000,1.0000,1.0000,0.1000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0800,1.0000,1.0000,1.0000,1.0000,1.0000,0.9700,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.3700,1.0000,0.4300,1.0000,1.0000,1.0000,1.0000,0.9800,0.8600,0.0400,0.3700,1.0000,1.0000,1.0000,0.4500,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0400,1.0000,0.8500,0.9900,1.0000,0.9000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0800,0.9900,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000, 
weighted.predictions,0.6230,0.8220,0.6845,0.9705,1.0000,0.8365,0.7320,0.0175,0.8620,0.6805,1.0000,0.9785,0.9610,1.0000,0.4260,0.6380,0.9715,0.4240,0.8910,0.4835,0.6755,0.9460,0.9575,0.8430,1.0000,0.9095,0.7525,0.9970,0.9985,1.0000,0.7355,0.0000,0.9365,0.4270,0.0000,0.8405,0.0000,0.8775,0.9520,0.9740,0.9595,0.9995,0.9985,0.9995,0.7700,0.6420,0.6600,0.9910,0.9995,0.3965,0.7660,0.5935,0.9015,0.9680,0.9645,0.9825,0.9815,0.9960,0.3075,0.7335,0.0020,0.6820,0.5110,0.4565,0.9605,1.0000,0.6805,0.8365,0.9805,0.6230,0.6845,1.0000,0.9705,0.8620,0.8220,0.7320,0.9610,0.9785,0.6755,0.6380,0.9095,1.0000,0.8910,0.4835,0.4995,0.5650,0.8430,1.0000,0.9460,0.9575,0.9715,1.0000,0.8835,0.8405,0.4270,0.8775,1.0000,0.9985,0.7355,0.9365,0.9520,0.6930,0.9970,0.7525,0.9985,0.7700,0.9995,0.6600,0.7660,0.9910,0.9995,0.9995,0.6420,0.5935,0.4830,0.9595,0.9740,0.0020,0.9605,0.9960,0.9815,0.9825,0.6820,0.5110,0.7335,0.3075,0.9680,0.9645,0.9015,0.4565,0.5825,0.9925,0.8650,0.9235,0.9360,0.5345,0.0010,0.9665,0.9595,1.0000,0.4200,0.9700,0.9770,1.0000,0.8290,0.9100,0.9700,0.9395,0.9995,0.8930,1.0000,0.9955,0.9635,0.8950,0.6795,0.4695,1.0000,0.9405,0.9675,0.6925,0.7975,0.9845,0.9905,0.9915,0.8720,0.1535,0.6575,0.4950,0.0005,0.9725,0.5995,0.0045,0.4465,0.9110,0.9985,0.2220,0.9985,0.8265,0.6320,0.4700,0.0070,0.2870,0.9405,0.9535,0.9995,0.9975,0.5665,0.1675,0.8860,0.9015,0.8685,0.9985,0.1515,0.9740,0.6030,0.9700,0.9770,0.5345,0.9360,0.9235,1.0000,0.4200,0.9665,0.9595,0.9925,0.8650,0.5825,0.0010,0.9395,0.9635,0.9995,1.0000,1.0000,0.9100,0.8950,0.9700,0.9955,0.8290,0.8930,0.4695,0.2520,1.0000,0.9405,0.9675,0.6925,0.6575,0.7975,0.9905,0.9915,0.8720,0.1535,0.4950,0.9845,0.9130,0.9590,0.2870,0.4700,0.9110,0.4465,0.6320,0.5480,0.9985,0.8265,0.9985,0.8230,0.9725,0.5995,0.9405,0.9535,0.9995,0.9975,0.5665,0.4070,0.8860,0.9015,0.8685,0.9985,0.2620,0.9740,0.6030,0.4720,1.0000,0.5850,0.9055,0.4980,0.3270,0.3235,1.0000,0.9420,1.0000,0.3315,0.9985,0.8460,0.9850,0.9570,0.4140,0.8805,0.7760,1.0000,0.0645,0.9995,0.9190,0.9730,0.1905,0.7780,0.3290,0.9990,0.6110,0.5390,0.8305,0.9895,0.9880,0.9950,0.8105,0.5970,0.8140,0.8645,0.8350,0.4290,0.9990,0.7790,0.0030,0.9660,0.9130,0.9995,0.1115,0.9985,0.9955,0.9405,0.0495,0.0875,0.3525,0.9935,0.7935,1.0000,0.9995,0.9975,0.3735,0.8570,0.7580,0.8365,0.9950,0.0145,0.7675,0.1720,1.0000,0.3270,0.8460,0.4980,0.9420,1.0000,1.0000,0.9985,0.5850,0.4720,0.3235,0.3315,0.9055,0.9850,0.9570,0.4140,0.8805,0.7760,1.0000,0.0645,0.9995,0.9190,0.9730,0.1905,0.0435,0.3290,0.8105,0.5390,0.6110,0.8305,0.5505,0.9950,0.8350,0.9990,0.9895,0.9880,0.5970,0.8140,0.8645,0.9130,0.9405,0.9995,0.9985,0.9990,0.0030,0.0495,0.9660,0.9955,0.7790,0.1115,0.3525,0.6035,0.7675,0.8170,0.8365,0.9975,0.9995,0.9950,0.1205,0.7580,0.8570,0.1295,1.0000,0.9935,0.7935, 
